Metric,Value,Minimum,Maximum,Target,Category,Threshold1,Threshold2,Threshold3,Threshold4
Sales Performance,75,0,100,80,Q1,20,40,60,80
Customer Satisfaction,92,0,100,85,Q2,20,40,60,80
Production Efficiency,68,0,100,75,Q3,20,40,60,80
Quality Score,88,0,100,90,Q4,20,40,60,80
Revenue Target,125000,0,150000,130000,Annual,30000,60000,90000,120000
Employee Engagement,7.8,0,10,8.5,Survey,2,4,6,8
System Uptime,99.2,95,100,99.5,IT,96,97,98,99
Project Completion,45,0,60,50,Development,12,24,36,48
Budget Utilization,82,0,100,90,Finance,20,40,60,80
Market Share,23,0,50,30,Marketing,10,20,30,40
Critical Issues,12,0,100,15,Needs Improvement Zone,20,40,60,80
Training Progress,28,0,100,50,Satisfactory Zone,20,40,60,80
Response Time,52,0,100,60,Good Zone,20,40,60,80
Customer Retention,73,0,100,80,Very Good Zone,20,40,60,80
Product Quality,94,0,100,95,Excellent Zone,20,40,60,80
Safety Score,8,0,100,90,Low Performance,20,40,60,80
Compliance Rate,35,0,100,80,Below Average,20,40,60,80
Team Productivity,48,0,100,70,Average Performance,20,40,60,80
Process Efficiency,67,0,100,75,Above Average,20,40,60,80
Innovation Index,91,0,100,85,Outstanding,20,40,60,80
Defect Rate,5,0,20,8,Defects (Low Good),4,8,12,16
Turnaround Time,85,0,120,75,Time (Hours),24,48,72,96
Cost Savings,42000,0,50000,45000,Financial Goal,10000,20000,30000,40000
NPS Score,65,0,100,70,Net Promoter,20,40,60,80
Service Level,99,0,100,98,SLA Achievement,20,40,60,80
